,mem,page,total
9068,1496668,14110760,16163192
9069,1499856,14111140,16167328
9070,1502684,14036524,16096756
9072,1502948,14051580,16111972
9073,1502948,14065344,16126116
9074,1502948,14079124,16139188
9075,1502948,14092604,16154108
9076,1502948,14107620,16168996
9077,1502656,14098524,16160200
9078,1502496,14089024,16148916
9079,1502496,14103408,16164164
9080,1502496,14093016,16152968
9081,1502088,14086236,16146868
9082,1502088,14100328,16160568
9083,1501740,14091344,16151696
9084,1501740,14104200,16165336
9085,1501340,14094708,16154344
9086,1501340,14110564,16169820
9087,1501020,14101832,16160944
9088,1500680,14093288,16152804
9089,1500680,14109252,16169456
9090,1500052,14100028,16158196
9091,1479696,14117808,16154256
9092,1479696,14119476,16154264
9093,1479696,14121300,16153556
9094,1479696,14122016,16154572
9095,1477224,13841272,15870888
9096,1477224,13955480,15984340
9097,1477224,14058848,16087392
9098,1477224,13829948,15859292
9099,1477224,13937760,15959948
9100,1477224,14044252,16066332
9101,1477224,13824884,15850676
9102,1477224,13842984,15870136
9103,1477224,13863040,15889972
9104,1477224,13881356,15909440
9105,1481708,13901404,15933056
9106,1486196,13921924,15957280
9107,1490156,13940580,15980236
9108,1494644,13961152,16004688
9109,1497284,13940088,15986944
9110,1497284,13956776,16003660
9111,1497284,13975264,16021576
9112,1497284,13992984,16039396
9114,1497284,14009468,16055572
9115,1497548,14025428,16072204
9116,1497548,14041088,16088080
9117,1497548,14058936,16105688
9118,1497548,14074432,16121076
9119,1497548,14090116,16136432
9120,1497548,14105540,16152556
9121,1497548,14121188,16168904
9122,1497548,14114476,16162068
9123,1497456,14107572,16155228
9124,1497276,14102032,16148488
9125,1497276,14117540,16164952
9126,1496872,14111220,16158908
9127,1477544,14040728,16071512
9128,1477544,14055504,16085388
9129,1477544,14071820,16099752
9130,1477544,14087908,16115692
9131,1477544,14103740,16132040
9132,1477544,14118512,16146052
9133,1477544,14132608,16160472
9134,1477384,14124532,16153720
9135,1477384,14140536,16167752
9136,1477016,14132936,16161504
9137,1476624,14123744,16151816
9138,1476624,14138920,16166076
9139,1476468,14131652,16159920
