,mem,page,total
817,2134188,13353504,15825828
818,2134188,13360312,15832160
819,2134188,13366716,15839284
820,2134188,13373340,15845612
821,2116544,13408424,15862736
822,2117336,13414340,15867404
823,2117336,13528020,15982548
824,2117336,13631480,16085384
825,2117336,13710256,16164312
827,2119868,13426836,15883924
828,2130692,13301304,15772456
829,2137292,13274440,15751652
830,2137292,13283696,15759084
831,2137556,13292380,15768552
832,2137556,13301260,15776744
833,2137556,13310252,15785040
834,2137556,13318852,15793616
835,2137556,13327884,15803664
836,2118096,13298996,15755932
837,2118096,13306748,15763632
838,2118096,13314000,15770008
839,2118096,13321624,15778388
840,2118096,13329048,15785304
841,2118096,13336200,15792616
842,2121000,13343724,15802820
843,2128656,13350848,15817876
844,2136048,13350324,15796232
845,2136312,13327640,15802992
846,2136312,13333940,15808848
847,2136576,13340568,15814916
848,2136576,13346948,15820976
849,2136576,13353112,15827744
850,2136576,13359672,15834584
851,2136576,13365812,15840392
852,2136576,13372164,15847024
853,2136576,13378700,15852960
854,2118144,13367824,15823280
855,2116572,13365908,15816756
856,2117096,13410892,15864104
857,2116572,13515668,15969612
858,2117360,13555012,16009216
859,2118944,13696056,16151140
860,2123432,13692636,16154612
861,2133728,13693108,16164980
862,2134828,13356728,15831536
863,2136412,13462424,15938584
864,2128152,13293288,15760364
865,2126168,13384528,15848772
866,2126960,13200452,15664840
867,2126960,13208684,15672676
868,2126960,13217144,15680984
870,2126960,13241920,15705152
871,2107500,13196080,15640096
872,2107500,13203076,15647404
873,2107500,13210380,15653996
874,2107500,13217276,15661540
875,2107500,13224020,15667272
876,2107500,13231232,15674360
877,2110668,13238060,15684780
878,2118060,13245244,15698892
879,2124924,13277892,15713820
880,2125452,13221352,15683340
881,2125452,13227284,15689396
882,2125716,13233572,15696724
883,2125716,13239668,15702028
884,2125716,13245536,15708100
885,2125716,13251492,15713840
886,2125716,13257348,15719360
887,2125716,13263368,15726220
888,2125716,13269608,15731244
889,2125716,13275436,15737844
890,2108668,13310108,15755956
891,2108720,13315184,15759956
892,2108720,13421528,15866628
893,2107284,13361848,15807996
894,2108484,13266064,15712992
895,2108708,13374128,15819824
896,2119944,13477692,15932972
897,2124796,13197968,15659292
898,2125060,13206772,15669144
899,2125324,13215224,15677688
900,2125324,13223936,15684988
901,2125324,13232444,15694328
902,2125324,13240628,15702588
903,2125324,13249208,15710456
904,2125324,13257760,15719000
905,2105864,13228008,15670364
906,2105864,13235324,15676460
907,2105864,13242316,15683832
908,2105864,13249620,15691488
909,2105864,13256712,15698056
910,2105864,13263572,15705356
911,2108504,13270640,15714932
