,mem,page,total
137,2076636,13255344,15690800
138,2075180,13607136,16029496
139,2075836,13733728,16163780
140,2077420,13748728,16154360
142,2074456,13644260,16071136
143,2083696,13729828,16159416
144,2081148,13737948,16152752
145,2083244,13077596,15508216
146,2075880,12906928,15335088
147,2075848,13303260,15729788
148,2073816,13448888,15871516
149,2078304,13746440,16170748
150,2082656,13726724,16156036
151,2081864,13738524,16168016
152,2088168,13727092,16165752
153,2092656,13714076,16152884
154,2090056,13735440,16155460
155,2080592,12362408,14792128
156,2074496,12672428,15096312
157,2078908,12852016,15285040
159,2077852,13190560,15614056
160,2077252,13102004,15534732
161,2080420,13320144,15760524
162,2080284,13660828,16095280
163,2075516,13378812,15805964
164,2081324,13733500,16158976
165,2077640,13736148,16165640
166,2079088,13740784,16157168
167,2075784,13729764,16153064
168,2076668,13030512,15453128
169,2075580,13379296,15817316
170,2077200,13743568,16154476
171,2080268,13625580,16003772
173,2078684,13744024,16153868
174,2079476,13740624,16163768
175,2083920,13734548,16157744
176,2083012,13502120,15937352
177,2085648,13728888,16171420
178,2092512,13715796,16153912
179,2091228,13729424,16169808
180,2097564,13723376,16168348
181,2083396,12578544,15014588
182,2084948,13008184,15447368
183,2082044,12880852,15330492
185,2085280,12998136,15394180
186,2083020,13191292,15631164
187,2085332,13331548,15767860
188,2079648,13246760,15683676
189,2084528,13714812,16158124
190,2083072,13723592,16159388
191,2082808,13727540,16165028
192,2087296,13730192,16165872
193,2090200,13721556,16164208
194,2089452,13718876,16160668
195,2090600,13727368,16162724
196,2099412,13633348,16055496
197,2085896,12728620,15173164
199,2090648,13146516,15585716
200,2094780,13704060,16149096
201,2091076,13699184,16143736
202,2092564,13728184,16169216
203,2093452,13712292,16167180
204,2089768,12512628,14952656
205,2084352,12805008,15240440
206,2084612,13269828,15716428
207,2085664,13244512,15683844
208,2087664,13528840,15971944
209,2092044,13714216,16155388
210,2087552,13725764,16170444
212,2093400,13458072,15842420
213,2084820,12875476,15313632
214,2087512,13065972,15495264
215,2082376,13400020,15836500
216,2081808,13238328,15676196
217,2084448,13612080,16046092
218,2085368,13719152,16164052
219,2087216,13719052,16158328
220,2093552,13604000,16009600
221,2095112,13629112,16080940
222,2092668,13697500,16140348
223,2091740,13694340,16143236
225,2094748,13248012,15695448
226,2090524,13609772,16057616
227,2094612,13714224,16157660
228,2096724,13712868,16169572
229,2094880,13713192,16152696
230,2100424,13712176,16165960
231,2094408,12774632,15226312
232,2095152,13157048,15610364
233,2098060,13448792,15897572
234,2093564,13698580,16142560
235,2098324,13710192,16157636
236,2097004,13712392,16169280
237,2095672,13718580,16170300
239,2100688,13721332,16154444
240,2102696,13429816,15882640
241,2100832,12919528,15309492
242,2102356,13055480,15518996
243,2103276,13304100,15759984
244,2099684,13577332,16030248
245,2102324,13715800,16170888
246,2103644,13716036,16171664
247,2103488,13713908,16170100
248,2110088,13702668,16164968
249,2110616,13703504,16168292
251,2107400,13679276,16139944
252,2097748,12308088,14757076
253,2098804,12601620,15049764
254,2083060,10710784,13148408
255,2088072,10913088,13355704
256,2088864,11117020,13561508
257,2086172,11026460,13466200
258,2087396,11234792,13676284
259,2087660,11426076,13868160
260,2085500,11281356,13722312
261,2085996,11494244,13935012
262,2086260,11691824,14132524
263,2084612,11576112,13996704
264,2085528,11764280,14204784
265,2086584,11988896,14429564
266,2088432,12143916,14586220
267,2088664,12351912,14795392
268,2089720,12564980,15010564
269,2086056,12164640,14605900
270,2086448,12385748,14827676
271,2087240,12567864,15010952
272,2085588,12496320,14889392
273,2086512,12664828,15105400
274,2087304,12882016,15324736
275,2086528,12775304,15219056
276,2087448,12986324,15429404
277,2088504,13204756,15648660
278,2086388,13074016,15514844
279,2087308,13275212,15717576
280,2088364,13475648,15919740
281,2087144,13481136,15906576
282,2087020,13519660,15961616
283,2066960,13650324,16072864
284,2068016,13746292,16167944
286,2066084,13598024,16020220
287,2066872,13748168,16170656
288,2067852,13739952,16163396
289,2065372,13726848,16147548
290,2066184,13437024,15857848
291,2067104,13636584,16057312
292,2065256,13715848,16137500
293,2069744,13732980,16157972
