,mem,page,total
2544,2164764,13671640,16088072
2545,2164764,13707152,16101388
2546,2164132,13505732,15923952
2547,2173900,13615868,16042980
2548,2178772,13383216,15815652
2549,2182204,13352004,15787056
2550,2182204,13358688,15793680
2551,2182204,13365172,15799308
2552,2182468,13371620,15806120
2553,2182468,13377876,15812876
2554,2182468,13384616,15819720
2555,2182468,13391040,15825964
2556,2182468,13397844,15832256
2557,2182468,13404560,15839108
2558,2182468,13411040,15845644
2559,2164032,13379712,15796528
2560,2164032,13385600,15801568
2561,2164032,13391016,15806592
2562,2164032,13396612,15812560
2563,2164032,13401996,15818972
2564,2164032,13407872,15824200
2565,2164032,13413320,15829696
2566,2164032,13418964,15835320
2567,2166408,13424844,15843200
2568,2171952,13430312,15853808
2569,2177760,13435752,15865140
2570,2181984,13404488,15837964
2571,2181984,13409428,15843548
2572,2181984,13414572,15848620
2573,2181984,13419336,15853952
2574,2182248,13424180,15859348
2575,2182248,13428984,15864308
2576,2182248,13434164,15868576
2577,2182248,13439024,15873940
2578,2182248,13444048,15879508
2579,2182248,13448884,15884376
2580,2182248,13454092,15888824
2581,2182248,13458876,15893424
2583,2182248,13463868,15898480
2584,2164300,13518832,15936188
2585,2164300,13436412,15852416
2586,2164300,13556256,15971176
2587,2164300,13520020,15936700
2588,2164300,13638352,16053892
2589,2164300,13472112,15886972
2590,2164300,13591960,16008100
2591,2165092,13694672,16112436
2592,2172220,13746952,16170580
2593,2179612,13508904,15941628
2594,2183572,13584040,16021056
2595,2183572,13686008,16123012
2596,2187000,13452856,15893016
2597,2184752,13548772,15987728
2598,2185468,13391264,15829292
2599,2187180,13500256,15940008
2600,2185596,13592324,16030512
2601,2186916,13338812,15777828
2602,2186916,13345700,15785492
2603,2186916,13379188,15818552
2604,2167456,13321388,15741216
2605,2167456,13327596,15747604
2606,2167456,13333384,15752832
2607,2167456,13339344,15759196
2608,2167456,13345660,15764440
2609,2167456,13351544,15771544
2610,2167456,13357612,15777520
2611,2168776,13363832,15784852
2612,2174848,13369628,15796712
2613,2180656,13375808,15808784
2614,2185672,13344244,15783592
2615,2185672,13349720,15788096
2616,2185672,13354776,15792364
2617,2185672,13359844,15796908
2618,2185936,13365048,15803240
2619,2185936,13370592,15807452
2620,2185936,13375756,15813572
2621,2185936,13380876,15819100
2622,2185936,13386160,15825164
2623,2185936,13391700,15829756
2624,2185936,13396832,15835292
2625,2185936,13402312,15840072
2626,2167500,13394916,15813872
2628,2167012,13390476,15809228
2629,2167012,13481184,15900404
2630,2167012,13590416,16009200
2631,2167012,13478284,15897408
2632,2167012,13601124,16017836
2633,2167012,13458816,15877364
2634,2168332,13549448,15969220
2635,2175988,13381268,15809816
2636,2183908,13407312,15843120
2637,2185228,13357968,15795712
2638,2185228,13364736,15803100
2639,2185492,13371324,15809588
2640,2185492,13378364,15815888
2641,2185492,13384968,15822432
2642,2185492,13391984,15829156
2643,2185492,13398532,15835260
2644,2185492,13405316,15842324
2645,2185492,13411988,15849616
2646,2167056,13381544,15800844
2647,2167056,13386760,15806264
2648,2167056,13392508,15812044
2649,2167056,13398500,15817344
2650,2167056,13404128,15823732
2651,2167056,13410148,15828480
2652,2167056,13415760,15834860
2653,2167056,13421784,15839796
2654,2168904,13427556,15847656
2655,2174712,13433116,15859272
2656,2180520,13438852,15871352
2657,2185272,13407228,15844772
2658,2185272,13412528,15849308
2659,2185272,13417440,15854380
2660,2185272,13422484,15860368
2661,2185536,13427416,15865508
2662,2185536,13432636,15869704
2663,2185536,13437536,15874580
2664,2185536,13442696,15879328
2665,2185536,13447596,15884912
2666,2185536,13452888,15890440
2667,2185536,13457848,15895252
2668,2185536,13463004,15900276
2669,2185536,13468064,15905184
2670,2170668,13541824,15963388
2672,2168528,13468664,15887872
2673,2170636,13580532,16002956
2674,2168528,13552780,15973152
2675,2169580,13655252,16060024
2676,2167712,13575188,15994248
2677,2167712,13679688,16097812
2678,2172728,13539920,15964888
2679,2180384,13561464,15995328
2680,2185928,13643196,16080644
2681,2185928,13731664,16169988
2682,2185872,13726708,16163844
2683,2185872,13390840,15828148
2684,2185872,13341748,15780220
2685,2185872,13433632,15869724
2686,2185872,13542720,15978752
2687,2185872,13271572,15709100
2688,2185872,13278804,15716180
2689,2185872,13286008,15723024
2690,2167436,13255640,15674992
2691,2167436,13261644,15680764
2692,2167436,13267880,15686552
2693,2167436,13274332,15692812
2694,2167436,13280348,15698900
2695,2167436,13286664,15705484
2696,2167436,13292888,15711240
2697,2167436,13298844,15717784
2698,2172188,13305128,15728400
2699,2178260,13310988,15739928
2700,2184332,13333536,15769528
2701,2185652,13285232,15721632
2702,2185652,13290836,15727800
2703,2185652,13296060,15733360
2704,2185916,13301528,15738092
2705,2185916,13306788,15743660
2706,2185916,13312424,15749944
2707,2185916,13317672,15754676
2708,2185916,13323060,15760284
2709,2185916,13328696,15766016
2710,2185916,13333872,15771204
2711,2185916,13339028,15776164
2712,2185916,13349460,15788088
2713,2171432,13446572,15869920
2714,2168424,13405668,15825316
2715,2168424,13374920,15794656
2717,2168424,13478380,15897488
2718,2168424,13601916,16019744
2719,2167896,13423732,15842428
2720,2168688,13532344,15952128
2721,2173704,13310432,15735636
2722,2181624,13317876,15750528
2723,2187432,13287352,15726500
2724,2187432,13293688,15733156
2725,2187432,13300352,15739620
2726,2187696,13307160,15745984
2727,2187696,13313292,15753624
2728,2187696,13319892,15759900
2729,2187696,13326624,15766248
2730,2187696,13333284,15772120
2731,2187696,13339744,15779940
2732,2187696,13346140,15785688
2733,2169260,13315596,15737264
2734,2169260,13321336,15741956
2735,2169260,13326748,15747020
2736,2169260,13332592,15752816
2737,2169260,13338052,15758896
2738,2169260,13343768,15764148
2739,2169260,13349340,15769172
2740,2169260,13355232,15775512
2741,2170580,13360952,15782600
2742,2176124,13366388,15793152
2743,2181932,13372272,15805516
2744,2187476,13340628,15779348
2745,2187476,13345688,15784868
2746,2187476,13350680,15789120
2747,2187476,13355488,15793608
2748,2187740,13360664,15798120
2749,2187740,13365444,15803128
2750,2187740,13370404,15808120
2751,2187740,13375268,15814484
2752,2187740,13380556,15819012
2753,2187740,13385376,15823420
2754,2187740,13390444,15828224
2755,2187740,13395228,15833816
2756,2187740,13400448,15838328
2757,2169304,13422724,15842724
2758,2170120,13541528,15961304
2759,2170120,13463240,15884224
2760,2170120,13584504,16004664
2762,2170820,13480680,15901588
2763,2170824,13599680,16021792
2764,2170824,13441648,15864940
2765,2170828,13545588,15967808
2766,2177428,13668312,16097008
2767,2184200,13506580,15941516
2768,2189520,13582468,16024012
2769,2188160,13684624,16124156
2770,2191620,13454160,15897836
2771,2192100,13558156,16001280
2772,2192100,13358076,15802540
2773,2192100,13365232,15809644
2774,2192100,13372128,15815888
2775,2192100,13379172,15823504
2776,2192100,13386328,15830136
2777,2192100,13419816,15862848
2778,2173664,13361776,15786500
2779,2173664,13367692,15793644
2780,2173664,13373916,15798800
2781,2173664,13380184,15804092
2782,2173664,13386112,15810928
2783,2173664,13391912,15817496
2784,2173664,13397756,15822496
2785,2174720,13403964,15829568
2786,2180528,13409916,15842256
2787,2186600,13415712,15854280
2788,2191880,13383724,15827356
2789,2191880,13389272,15832412
2790,2191880,13394644,15837688
2791,2191880,13399824,15843664
2792,2192144,13405360,15849564
2793,2192144,13410520,15853824
2794,2192144,13415816,15859124
2795,2192144,13420940,15864708
2796,2192144,13426432,15869464
2797,2192144,13431532,15875024
2798,2192144,13436812,15880560
2799,2192144,13441884,15886592
2800,2173708,13413656,15838604
2801,2173712,13418240,15843476
2802,2173712,13511928,15937692
2803,2173712,13558832,15958248
2804,2172372,13546248,15970052
2805,2172112,13647892,16070096
2807,2172636,13737864,16159432
2808,2172796,13398668,15821304
2809,2181652,13504688,15936020
2810,2187420,13604856,16042120
2811,2190196,13309832,15750240
2812,2190196,13316448,15756760
2813,2190196,13322884,15763076
2814,2190196,13329692,15769840
2815,2190196,13336292,15775548
2816,2190196,13342688,15782392
2817,2190196,13349412,15789172
2818,2190196,13355720,15795336
2819,2190196,13362388,15801668
2820,2171760,13332792,15754144
2821,2171760,13338284,15759884
2822,2171760,13344288,15765428
2823,2171760,13350020,15771028
2824,2171760,13355552,15777060
2825,2171760,13361096,15782596
2826,2171760,13366728,15787644
2827,2171760,13372172,15793400
2828,2171760,13378004,15798944
2829,2177040,13383468,15809904
2830,2182848,13389160,15821528
2831,2188656,13412796,15850184
2832,2189976,13363656,15802872
2833,2189976,13368508,15808440
2834,2189976,13373508,15813448
2835,2190240,13378760,15819008
2836,2190240,13383564,15824584
2837,2190240,13388372,15828056
2838,2190240,13393336,15833648
2839,2190240,13398504,15838216
2840,2190240,13403284,15842452
2841,2190240,13408088,15846956
2842,2190240,13413116,15852824
2843,2190240,13418372,15857888
2844,2171808,13430296,15850740
2845,2173828,13554392,15978612
2846,2173844,13477448,15900184
2847,2174612,13462132,15884536
2848,2173212,13563732,15985148
2849,2174572,13479712,15905972
2850,2173212,13584292,16006104
2851,2173884,13435500,15857232
2853,2181964,13555720,15985520
2854,2187996,13658212,16093708
2855,2191956,13455820,15896652
2856,2193264,13547168,15988036
2857,2193264,13657228,16098224
2858,2193528,13453140,15895308
2859,2194164,13563472,16006204
2860,2191828,13342280,15783232
2861,2191828,13349216,15790384
2862,2191828,13355960,15796304
2863,2191828,13362968,15803424
2864,2191828,13396408,15836476
2865,2172368,13338528,15758788
2866,2172368,13344368,15764640
2867,2172368,13350308,15770160
2868,2172368,13356220,15776776
2869,2172368,13362060,15782784
2870,2172368,13368276,15789036
2871,2172368,13374296,15795352
2872,2173160,13380104,15802188
2873,2179232,13386252,15813472
2874,2185304,13392196,15825852
2875,2190584,13360592,15799644
2876,2190584,13366048,15804944
2877,2190584,13371100,15810424
2878,2190584,13376424,15815464
2879,2190848,13381952,15821260
2880,2190848,13387072,15826796
2881,2190848,13392164,15831860
2882,2190848,13397436,15836608
2883,2190848,13402912,15842460
2884,2190848,13407964,15848232
2885,2190848,13413028,15852988
2886,2190848,13418284,15858604
2887,2190848,13415808,15808432
2888,2171928,13390848,15812456
2889,2171928,13512556,15932836
2890,2171928,13615992,16035308
2891,2172720,13477124,15898136
2892,2172720,13582492,16004484
2893,2172720,13675180,16066692
2894,2172984,13628856,16052312
2895,2180376,13741320,16145396
2897,2182956,13425164,15857356
2898,2187972,13396576,15833224
2899,2187972,13404080,15839996
2900,2187972,13416664,15851848
2901,2188236,13424520,15859700
2902,2188236,13432168,15867756
2903,2188236,13440004,15876632
2904,2188236,13447300,15883868
2905,2188236,13455032,15890632
2906,2188236,13462752,15897476
2907,2188236,13470152,15905004
2908,2188236,13466616,15879664
2909,2169800,13448044,15865604
2910,2169800,13454756,15871896
2911,2169800,13461572,15878740
2912,2169800,13468444,15885072
2913,2169800,13474908,15891096
2914,2169800,13481304,15898720
2915,2169800,13487832,15905192
2916,2169800,13494284,15912272
2917,2172440,13500576,15920360
2918,2177984,13506840,15932416
2919,2183264,13513044,15944016
2920,2188016,13482868,15919588
2921,2188016,13488672,15924620
2922,2188016,13494300,15929824
2923,2188016,13500176,15935392
2924,2188280,13505576,15940920
2925,2188280,13510900,15946980
2926,2188280,13517076,15952356
2927,2188280,13522316,15958420
2928,2188280,13528380,15963640
2929,2188280,13533892,15968892
2930,2188280,13539568,15975044
2931,2188280,13545008,15980476
2932,2188280,13550456,15985808
2933,2169844,13542140,15959604
2934,2169844,13652332,16069036
2935,2169844,13567560,15984064
2936,2169844,13666640,16083596
2937,2169844,13647780,16063780
2938,2169844,13651028,16037056
2939,2169844,13661604,16076740
2940,2169844,13736828,16153288
2942,2169844,13529192,15942728
2943,2169844,13620988,16034932
2944,2175652,13737604,16155620
2945,2180668,13475836,15900288
2946,2187532,13690428,16120724
2947,2189380,13710660,16142740
2948,2186532,13464716,15893800
2949,2187296,13682668,16111976
2950,2189144,13720284,16148276
2951,2186688,13431208,15859336
2952,2186688,13447488,15874984
2953,2186688,13462712,15891548
2954,2186688,13476276,15904288
2955,2186688,13491192,15918352
2956,2186688,13505604,15932992
2957,2186688,13519072,15946056
2958,2186688,13532656,15960200
2959,2186688,13546476,15972792
2960,2186688,13581840,16008844
2961,2168252,13534656,15943032
2962,2168252,13546312,15955200
2963,2168252,13558228,15965948
2964,2168252,13570152,15978816
2965,2168252,13581668,15990172
2966,2168252,13592780,16001432
2967,2168252,13603652,16012616
2968,2168252,13614608,16023168
2969,2168252,13626344,16034744
2970,2168252,13637952,16046296
2971,2170628,13649292,16059140
2972,2175116,13659852,16074032
2973,2179868,13670520,16089192
2974,2184356,13680592,16104800
2975,2185412,13653636,16080136
2976,2185412,13663160,16088948
2977,2185412,13672792,16098540
2978,2185412,13682364,16107888
2979,2185676,13692156,16117968
2980,2185676,13701944,16128244
2981,2185676,13711668,16137528
2982,2185676,13720728,16146636
2983,2185676,13729904,16156444
2984,2185676,13738768,16164616
2986,2185676,13711656,16138480
2987,2185676,13721400,16146184
2988,2185676,13730412,16155492
2989,2185676,13739100,16163772
2990,2185676,13739260,16164668
2991,2170372,13747228,16156328
2992,2167364,13649372,16053560
2993,2167364,13611128,16015240
2994,2167364,13730388,16134592
2995,2167364,13694648,16098532
2996,2167364,13761412,16165540
2997,2167364,13746488,16148868
2998,2167364,13750064,16152364
2999,2164660,13412820,15811736
3000,2164660,13512572,15911700
3001,2164660,13603632,16003836
